"","id","member_id","loan_amnt","funded_amnt","term_mnths","int_per","installment","grade","sub_grade","emp_title","emp_yrs","home_ownership","annual_inc","verification_status","issue_d","loan_status","desc","purpose","title","addr_state","dti","open_acc","revol_bal","revol_util_per","total_acc","total_pymnt","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","last_payment_due","issue_date","lpd_yr","iss_yr","paid_mths","unpaid_mths","future_value","credit_loss"
"340",1065103,1299180,10000,10000,36,11.71,331,"B","B3","chevron station","5","rent",32000,"not verified","Dec-11","Charged Off","","credit_card","lovely","FL",21.83,11,7346,59.6,23,1959,1187,464,0,308,3,"Jun-12",331,2012-06-01,2011-12-01,"2012","2011",6,30,8813,9892
"341",1065254,1299335,24000,24000,36,8.9,762,"A","A5","tech data corp","10+","mortgage",116400,"verified","Dec-11","Charged Off","","car","car loan and pay off my family","FL",3.94,14,3885,8.1,31,8650,6037,1580,0,1032,10,"Oct-12",762,2012-10-01,2011-12-01,"2012","2011",10,26,17963,18780
"345",1059620,1291228,12000,12000,36,11.71,397,"B","B3","firestone complete auto care","10+","rent",57200,"source verified","Dec-11","Charged Off","  Borrower added on 12/15/11 > I plan to use this loan to pay off my high interest credit cards and lower my monthly payments. I have been with my company for over 11 years.<br>","debt_consolidation","consolidation","MA",16.36,11,22059,68.5,17,3565,2614,951,0,0,0,"Oct-12",397,2012-10-01,2011-12-01,"2012","2011",10,26,9386,10660
"349",1065196,1299063,10000,10000,36,12.69,335,"B","B5","grey goose restaurant","2","rent",35000,"source verified","Dec-11","Charged Off","","debt_consolidation","stress relief","KY",12.03,10,10472,84.6,15,7690,5359,1671,0,660,6,"Oct-13",335,2013-10-01,2011-12-01,"2013","2011",22,14,4641,4352
"357",1062248,1294105,9750,9750,36,7.51,303,"A","A3","grand wailea","4","rent",35000,"not verified","Dec-11","Charged Off","  Borrower added on 12/10/11 > Debt consolidation<br> Borrower added on 12/14/11 > Thank you<br>","debt_consolidation","consolidation","HI",29.04,9,13275,51.7,19,5151,4327,824,0,0,0,"May-13",303,2013-05-01,2011-12-01,"2013","2011",17,19,5423,5776
"363",1064754,1298795,25000,25000,60,19.42,654,"E","E3","san francisco public library","10+","rent",60000,"verified","Dec-11","Charged Off","  Borrower added on 12/11/11 > I always pay my bills on time but would like to have a better interest rate and have a consolidated payment,<br>","credit_card","refinance","CA",20.04,12,17035,94.9,24,29416,11625,11255,0,6536,1173,"Dec-14",654,2014-12-01,2011-12-01,"2014","2011",36,24,13375,9712
"366",1064727,1298762,8875,8875,36,12.69,298,"B","B5","wells fargo","5","mortgage",35360,"verified","Dec-11","Charged Off","","debt_consolidation","credit card debt","PA",23.11,9,13003,71.1,13,2047,1252,529,0,266,3,"Jun-12",298,2012-06-01,2011-12-01,"2012","2011",6,30,7623,8674
"377",1064636,1298456,12000,12000,36,8.9,381,"A","A5","sterling savings bank","3","rent",32000,"source verified","Dec-11","Charged Off","  Borrower added on 12/15/11 > Thank you all so much for all that you've already done. You have no idea how much you are changing my life!<br><br>  Borrower added on 12/16/11 > This is going to help me pay off my credit cards and have just one low payment every month.  I can't tell you how good it feels to see the light at the end of the tunnel and see that I will be out of debt quicker than I thought I could be.  I greatly appreciate your help and will not let you down.<br>","debt_consolidation","bye-bye high interest rates!","OR",6.75,9,5329,59.2,12,8740,6604,1391,0,745,7,"Sep-13",381,2013-09-01,2011-12-01,"2013","2011",21,15,5396,4970
"381",1056865,1288419,15000,15000,60,12.69,339,"B","B5","pkm panel systems corp.","3","own",30000,"verified","Dec-11","Charged Off","  Borrower added on 12/14/11 > i would really like this loan to take care of my credit cards. i was a fool in the past for going crazy with them, but not anymore. i pay on time 99% of the time, and i absolutely never miss a payment. this loan will be to liquidate majority of my credit card debt and hopefully have a fresh start with a much cheaper payement and lower rate. i'd also love to see my credit score get better in doing so. no one should ever worry about lending me money at all because i'm as honest and trustworthy as they come. i've been at a good job with plenty of overtime for the past 3 years and love it. thank you for the opportunity and i hope i can get some help<br>","debt_consolidation","leave mistakes behind","NJ",24.76,7,16876,65.7,17,9544,4882,3228,0,1434,14,"Dec-13",339,2013-12-01,2011-12-01,"2013","2011",24,36,10118,10770
"382",1064783,1298613,8050,8050,36,12.69,270,"B","B5","pbm&m","1","rent",36000,"source verified","Dec-11","Charged Off","  Borrower added on 12/10/11 > debt consolidation<br> Borrower added on 12/11/11 > debt. consolidation<br> Borrower added on 12/13/11 > debt consolidation<br>","debt_consolidation","debt consolidation","WA",14.8,4,12000,81.3,7,1331,749,327,0,255,3,"Apr-12",270,2012-04-01,2011-12-01,"2012","2011",4,32,7301,8385
"389",1064608,1298422,6000,6000,60,7.9,121,"A","A4","fidelity investments","<1","rent",30084,"verified","Dec-11","Charged Off","  Borrower added on 12/14/11 > My goal is to pay off a higher-interest credit card and have a little extra in savings for those unexpected events - so I don't go back in debt. Looking forward to financial freedom!<br>","debt_consolidation","personal loan","KY",1.68,6,2192,10,15,3662,2299,837,0,526,5,"Feb-14",121,2014-02-01,2011-12-01,"2014","2011",26,34,3701,3622
"413",1064251,1298041,1500,1500,36,18.64,55,"E","E1","willowood care center","<1","rent",17000,"source verified","Dec-11","Charged Off","","other","personal ","OH",4.59,10,1497,99.8,15,561,301,191,0,69,1,"Sep-12",55,2012-09-01,2011-12-01,"2012","2011",9,27,1199,1416
"415",1035800,1265435,20000,16925,60,14.65,400,"C","C3","macy's","10+","rent",75000,"verified","Dec-11","Charged Off","","debt_consolidation","debt consolidation","CA",16.51,10,21513,74.9,16,3613,1819,1773,20,0,0,"Sep-12",819,2012-09-01,2011-12-01,"2012","2011",9,51,18181,24531
"423",1064366,1298164,1000,1000,36,14.65,34,"C","C3","missing","na","rent",18408,"not verified","Dec-11","Charged Off","","major_purchase","myloan","NJ",6,3,2510,83.7,8,91,22,12,0,57,10,"Jan-12",34,2012-01-01,2011-12-01,"2012","2011",1,35,978,1168
"425",1064150,1298144,8500,8500,36,14.27,292,"C","C2","costco pharmacy","9","rent",50000,"source verified","Dec-11","Charged Off","","debt_consolidation","debt consolidation loan","PA",8.5,15,9354,61.5,27,2445,1379,657,0,409,4,"Jul-12",292,2012-07-01,2011-12-01,"2012","2011",7,29,7121,8059
"431",1029473,1258841,33425,20675,60,13.49,476,"C","C1","travelers insurance","2","mortgage",75000,"source verified","Dec-11","Charged Off","  Borrower added on 12/09/11 > Debt consolidation<br>","debt_consolidation","debt consolidation loan","NY",25.71,10,50670,50.5,43,19894,13371,6512,0,11,0,"Feb-15",1370,2015-02-01,2011-12-01,"2015","2011",38,22,20054,22737
"434",1063949,1297930,18000,18000,60,11.71,398,"B","B3","di-matrix","<1","rent",40000,"source verified","Dec-11","Charged Off","","debt_consolidation","my freedom loan","AZ",18.18,6,12806,68.8,12,10850,5690,3449,0,1711,17,"Dec-13",398,2013-12-01,2011-12-01,"2013","2011",24,36,12310,12941
"436",1064133,1298122,20000,20000,60,16.77,495,"D","D2","us postal service","10+","rent",60000,"verified","Dec-11","Charged Off","  Borrower added on 12/10/11 > I plan to use the funds to consolidate my debt.  I will make my monthly payment on time.  I work at the United States Postal Service for 15 years and until I retire.<br><br>  Borrower added on 12/19/11 > working for the United States Postal Service for 15 years, i can say that my job is stable...i will never be out of work...getting this loan will help me pay off my credit card bill faster and help me get back on my feet<br>","debt_consolidation","debt free","CA",9.46,13,16326,41,30,18800,9606,7668,0,1526,268,"Nov-14",495,2014-11-01,2011-12-01,"2014","2011",35,25,10394,10849
"459",1063751,1296522,14400,14400,36,18.25,522,"D","D5","navfac/naval station newport","5","rent",51871,"verified","Dec-11","Charged Off","  Borrower added on 12/09/11 > The loan will be used to consolidate my debt and begin a new in 2012.  I have been working for the government for over 5 years and at some point would like to further my education.  I am very good about being on time with payments and take this very seriously.  The payment presented works great for my budget and may be able to get it paid off even earlier.  This loan would really be a great new beginning and allow me to go back to school and further my career.  Thank you to all who inquire and best wishes for the new year!<br>","debt_consolidation","2012 new beginnings","RI",7.82,5,8092,79.3,9,7869,4684,2614,0,571,6,"Feb-13",522,2013-02-01,2011-12-01,"2013","2011",14,22,9716,10935
"463",1063788,1296355,4200,4200,60,17.27,105,"D","D3","physicians surgery center of tempe","9","rent",43000,"source verified","Dec-11","Charged Off","  Borrower added on 12/09/11 > job is stable<br><br> Borrower added on 12/09/11 > been with my job for almost 10 years, want to pay off credit cards etc<br>","debt_consolidation","credit card consolidation","AZ",10.13,9,8843,77,19,4200,2381,1808,0,11,2,"Apr-15",105,2015-04-01,2011-12-01,"2015","2011",40,20,1819,2089
"465",1063781,1296348,3000,3000,36,10.65,98,"B","B2","adp","10+","mortgage",86004,"not verified","Dec-11","Charged Off","","other","lending club","NJ",13.37,8,23964,64.6,35,2237,1629,418,0,189,2,"Sep-13",98,2013-09-01,2011-12-01,"2013","2011",21,15,1371,1281
"467",1063778,1296342,15000,15000,36,16.29,530,"D","D1","bentall kennedy","1","rent",110000,"verified","Dec-11","Charged Off","  Borrower added on 12/09/11 > I need a short-term loan for my business. I am looking to raise the necessary capital without selling my existing investments.<br><br>Thank you.<br><br>","small_business","short-term business loan","TX",21.99,12,40370,84.1,24,1873,656,403,0,815,147,"Feb-12",530,2012-02-01,2011-12-01,"2012","2011",2,34,14344,17205
"477",1063693,1296259,10000,10000,36,17.27,358,"D","D3","macys","8","rent",68000,"not verified","Dec-11","Charged Off","  Borrower added on 12/09/11 > I WANT TO PAY OFF CARDS AND HAVE ONE PAYMENT<br><br> Borrower added on 12/09/11 > I HAVE BEEN AT MY JOB FOR 7.5 YEARS<br>","debt_consolidation","payoff","MT",17.15,7,6754,92.5,16,8589,6067,2507,0,15,0,"Dec-13",358,2013-12-01,2011-12-01,"2013","2011",24,12,3933,4293
"481",1057424,1288982,16000,16000,36,7.9,501,"A","A4","gugino & mortimer, plc","1","rent",51000,"source verified","Dec-11","Charged Off","  Borrower added on 12/09/11 > The purpose fo this loan is to consolidate three credit cards. My husband and I have three Chase credit cards that we want to consolidate into one payment and save on interest. <br>","debt_consolidation","pay off chase","AZ",24.66,8,29485,81,28,11929,9323,1689,0,917,9,"Oct-13",501,2013-10-01,2011-12-01,"2013","2011",22,14,6677,6097
"485",1063448,1296012,2200,2200,36,15.27,77,"C","C4","regent care center","10+","own",48000,"not verified","Dec-11","Charged Off","","debt_consolidation","truck repair","TX",5.47,3,10130,83.7,7,2294,353,183,0,1758,317,"Jul-12",77,2012-07-01,2011-12-01,"2012","2011",7,29,1847,475
"490",1063421,1295979,8000,8000,60,8.9,166,"A","A5","st. johnland","1","rent",51204,"not verified","Dec-11","Charged Off","","debt_consolidation","debt consolidation","NY",25.12,16,20888,37.6,40,4639,3272,1367,0,0,0,"May-14",34,2014-05-01,2011-12-01,"2014","2011",29,31,4728,5301
"497",1063393,1295948,35000,23250,60,20.3,620,"E","E5","the crexent business centers","3","own",85000,"verified","Dec-11","Charged Off","  Borrower added on 12/11/11 > Looking to consolidate debt so I can take care of my family and move forward with my business venture.  PLEASE CONSIDER!<br> Borrower added on 12/13/11 > Thank you for helping me with this request.  I urge you to fund the full amount as this will assist me going forward .  Thank you for your consideration!<br><br>  Borrower added on 12/18/11 > I need to consolidate my accounts as I am working on opening my our business.<br><br>  Borrower added on 12/19/11 > Dear Investors<br><br>With only 4 days left to fund my request, I hope you will be able to assist me.  I need your help in condolidating my bills.  I now take care of my father after my mothers death.  The the additional financial responsibility  I need to consolidate to make sure I can take care of him<br>","debt_consolidation","freedom debt","FL",16.39,10,18515,76.5,40,3094,1170,1924,0,0,0,"May-12",620,2012-05-01,2011-12-01,"2012","2011",5,55,33830,52250
"506",1059525,1291351,12000,12000,60,14.65,283,"C","C3","hawaiian airlines","<1","rent",75000,"verified","Dec-11","Charged Off","  Borrower added on 12/09/11 > Debt consolidation of IRS and State Taxes<br>","credit_card","refinance","HI",16.13,14,16664,89.4,28,7694,3606,2908,0,1180,12,"Nov-13",283,2013-11-01,2011-12-01,"2013","2011",23,37,8394,9291
"515",1063069,1295567,21250,21250,36,12.42,710,"B","B4","showboat casino","5","rent",37000,"verified","Dec-11","Charged Off","  Borrower added on 12/09/11 > Money to pay off any bills and to buy items for business.<br> Borrower added on 12/10/11 > Money is to pay off any bills(easier to pay off one source) and to make capital improvements for business.<br>","other","debt-paying, wife-helping","NJ",14.27,8,14899,69.3,21,8880,6570,2267,0,44,0,"Dec-12",710,2012-12-01,2011-12-01,"2012","2011",12,24,14680,16612
"524",1062997,1295086,15000,15000,36,15.27,522,"C","C4","hudson hotel","10+","rent",60000,"verified","Dec-11","Charged Off","","debt_consolidation","debt consolidation","NY",10.72,7,12333,75.2,18,6379,3872,1853,0,654,6,"Nov-12",522,2012-11-01,2011-12-01,"2012","2011",11,25,11128,12396
"527",1062918,1295405,4000,4000,36,12.69,134,"B","B5","publix","6","rent",30000,"not verified","Dec-11","Charged Off","  Borrower added on 12/08/11 > remodeling our kitchen<br>","home_improvement","home improvement","FL",17.6,8,1296,5.5,20,2153,1482,527,0,144,1,"Mar-13",134,2013-03-01,2011-12-01,"2013","2011",15,21,2518,2670
"533",1062976,1295062,4000,4000,60,19.91,106,"E","E4","newell rubbermaid inc","10+","rent",45000,"source verified","Dec-11","Charged Off","","house","mortgage","PA",15.2,5,3722,22.4,11,1776,660,924,0,191,2,"Apr-13",332,2013-04-01,2011-12-01,"2013","2011",16,44,3340,4561
"535",1062897,1295380,1700,1700,36,7.9,53,"A","A4","missing","na","mortgage",37800,"not verified","Dec-11","Charged Off","","home_improvement","home improvement","CO",27,9,16333,91.2,27,1218,940,174,0,104,1,"Sep-13",53,2013-09-01,2011-12-01,"2013","2011",21,15,760,691
"538",1059486,1291111,12000,12000,36,14.65,414,"C","C3","carefusion","6","rent",54400,"verified","Dec-11","Charged Off","  Borrower added on 12/08/11 > I plan on using this money to pay off some of my higher interest rate credit cards. This is a part of my plan to have all my debt paid off in 3 years so I can purchase my first home. This amount I requested will give me the room to pay off my debt and also have a bit extra for saving. I am a responsible person and have a secure job. I appreciate your consideratation in funding my loan. Thank you.<br>","debt_consolidation","debt consolidation loan","WA",13.81,14,13239,60.2,33,11043,8360,2684,0,0,0,"Apr-14",481,2014-04-01,2011-12-01,"2014","2011",28,8,3640,3840
"540",1062851,1295329,8000,8000,60,20.3,213,"E","E5","dow networks","1","rent",42500,"source verified","Dec-11","Charged Off","  Borrower added on 12/08/11 > Consolidating all my credit cards and paying my rent off for the rest of the contract. Then I'll double up on my payments on my loan with the money I save from the difference in rent payments and minimum payment amounts on my credit cards that I'll be paying off.<br> Borrower added on 12/11/11 > My lease is up on my apartment in July 2012, and my next step is buying a home. I'm saving my down payment now, and I just need to pay off my revolving debt. <br>","debt_consolidation","consolidation loan","GA",14.23,10,9870,95,24,8505,2173,3336,0,2996,509,"Jun-14",200,2014-06-01,2011-12-01,"2014","2011",30,30,5827,4474
